lipinski_violations,lipinski_pass,veber_oral_bioavailability,gi_absorption,bbb_permeant,pgp_substrate,cyp3a4_inhibitor,herg_liability,lorlatinib_ddi_flag,lorlatinib_ddi_note,plasma_protein_binding,fsp3,n_aromatic_rings,drug_name
2,False,True,Low,False,False,True,True,True,Lorlatinib is a CYP3A4 substrate. Co-administration with strong CYP3A4 inhibitors may increase lorlatinib plasma levels. Dose adjustment may be needed. Consult oncologist.,High (>90%),0.333,4,Lomitapide
2,False,True,Low,False,False,False,False,False,,High (>90%),0.63,1,Dutasteride
2,False,True,Low,False,False,True,True,True,Lorlatinib is a CYP3A4 substrate. Co-administration with strong CYP3A4 inhibitors may increase lorlatinib plasma levels. Dose adjustment may be needed. Consult oncologist.,High (>90%),0.333,4,Lomitapide Mesylate
2,False,True,High,False,True,True,False,True,Lorlatinib is a CYP3A4 substrate. Co-administration with strong CYP3A4 inhibitors may increase lorlatinib plasma levels. Dose adjustment may be needed. Consult oncologist.,High (>90%),0.29,4,Zafirlukast (ICI-204219)
1,True,True,High,False,True,True,True,True,Lorlatinib is a CYP3A4 substrate. Co-administration with strong CYP3A4 inhibitors may increase lorlatinib plasma levels. Dose adjustment may be needed. Consult oncologist.,High (>90%),0.192,5,Tucatinib
2,False,True,Low,False,False,True,True,True,Lorlatinib is a CYP3A4 substrate. Co-administration with strong CYP3A4 inhibitors may increase lorlatinib plasma levels. Dose adjustment may be needed. Consult oncologist.,High (>90%),0.75,0,Bardoxolone Methyl
1,True,True,High,False,True,True,True,True,Lorlatinib is a CYP3A4 substrate. Co-administration with strong CYP3A4 inhibitors may increase lorlatinib plasma levels. Dose adjustment may be needed. Consult oncologist.,High (>90%),0.515,3,Irinotecan hydrochloride
1,True,True,High,False,True,True,True,True,Lorlatinib is a CYP3A4 substrate. Co-administration with strong CYP3A4 inhibitors may increase lorlatinib plasma levels. Dose adjustment may be needed. Consult oncologist.,High (>90%),0.515,3,Irinotecan (CPT-11) HCl Trihydrate
2,False,True,Low,False,True,True,True,True,Lorlatinib is a CYP3A4 substrate. Co-administration with strong CYP3A4 inhibitors may increase lorlatinib plasma levels. Dose adjustment may be needed. Consult oncologist.,High (>90%),0.161,6,umbralisib (TGR-1202)
1,True,True,High,False,True,True,True,True,Lorlatinib is a CYP3A4 substrate. Co-administration with strong CYP3A4 inhibitors may increase lorlatinib plasma levels. Dose adjustment may be needed. Consult oncologist.,High (>90%),0.515,3,Irinotecan (CPT-11)
1,True,True,High,False,True,True,False,True,Lorlatinib is a CYP3A4 substrate. Co-administration with strong CYP3A4 inhibitors may increase lorlatinib plasma levels. Dose adjustment may be needed. Consult oncologist.,High (>90%),0.345,3,Ubrogepant
0,True,True,High,False,True,True,True,True,Lorlatinib is a CYP3A4 substrate. Co-administration with strong CYP3A4 inhibitors may increase lorlatinib plasma levels. Dose adjustment may be needed. Consult oncologist.,Moderate (70-90%),0.276,4,Tepotinib (EMD 1214063)
1,True,True,High,False,True,True,False,True,Lorlatinib is a CYP3A4 substrate. Co-administration with strong CYP3A4 inhibitors may increase lorlatinib plasma levels. Dose adjustment may be needed. Consult oncologist.,High (>90%),0.594,2,Bromocriptine Mesylate
2,False,True,High,False,False,True,True,True,Lorlatinib is a CYP3A4 substrate. Co-administration with strong CYP3A4 inhibitors may increase lorlatinib plasma levels. Dose adjustment may be needed. Consult oncologist.,High (>90%),0.379,4,Piperaquine phosphate
1,True,False,Low,False,True,True,False,True,Lorlatinib is a CYP3A4 substrate. Co-administration with strong CYP3A4 inhibitors may increase lorlatinib plasma levels. Dose adjustment may be needed. Consult oncologist.,High (>90%),0.167,6,Azilsartan Medoxomil
0,True,True,High,False,True,True,False,True,Lorlatinib is a CYP3A4 substrate. Co-administration with strong CYP3A4 inhibitors may increase lorlatinib plasma levels. Dose adjustment may be needed. Consult oncologist.,Moderate (70-90%),0.227,4,Fluzoparib (SHR-3162)
2,False,True,Low,False,True,True,True,True,Lorlatinib is a CYP3A4 substrate. Co-administration with strong CYP3A4 inhibitors may increase lorlatinib plasma levels. Dose adjustment may be needed. Consult oncologist.,High (>90%),0.107,5,Nilotinib (AMN-107)
1,True,True,Low,False,False,False,False,False,,High (>90%),0.867,0,Enoxolone
0,True,True,High,True,False,False,False,False,,Moderate (70-90%),0.111,3,Tanshinone I
2,False,False,Low,False,True,True,True,True,Lorlatinib is a CYP3A4 substrate. Co-administration with strong CYP3A4 inhibitors may increase lorlatinib plasma levels. Dose adjustment may be needed. Consult oncologist.,High (>90%),0.273,2,Chlorhexidine diacetate
